Date,Volume
2013-09-17,399380800
2013-09-18,456862000
2013-09-19,404541200
2013-09-20,699302800
2013-09-23,762106800
2013-09-24,364344400
2013-09-25,316957200
2013-09-26,237221600
2013-09-27,228040400
2013-09-30,260156400
2013-10-01,353883600
2013-10-02,289184000
2013-10-03,322753200
2013-10-04,258868400
2013-10-07,312292400
2013-10-08,290917200
2013-10-09,301725200
2013-10-10,278602800
2013-10-11,267738800
2013-10-14,261898000
2013-10-15,320073600
2013-10-16,251101200
2013-10-17,253593200
2013-10-18,290542000
2013-10-21,398106800
2013-10-22,534063600
2013-10-23,313723200
2013-10-24,384764800
2013-10-25,337792000
2013-10-28,550440800
2013-10-29,635807200
2013-10-30,354163600
2013-10-31,275696400
2013-11-01,274890000
2013-11-04,244627600
2013-11-05,265213200
2013-11-06,223375600
2013-11-07,262620400
2013-11-08,279316800
2013-11-11,227452400
2013-11-12,204276800
2013-11-13,197220800
2013-11-14,282419200
2013-11-15,317920400
2013-11-18,244944000
2013-11-19,208938800
2013-11-20,193916800
2013-11-21,262026800
2013-11-22,223725600
2013-11-25,229311600
2013-11-26,401382800
2013-11-27,363448400
2013-11-29,318127600
2013-12-02,472544800
2013-12-03,450968000
2013-12-04,377809600
2013-12-05,447580000
2013-12-06,344352400
2013-12-09,320493600
2013-12-10,278269600
2013-12-11,359718800
2013-12-12,262290000
2013-12-13,332822000
2013-12-16,282592800
2013-12-17,229902400
2013-12-18,565863200
2013-12-19,320308800
2013-12-20,436413600
2013-12-23,501306400
2013-12-24,167554800
2013-12-26,204008000
2013-12-27,225884400
2013-12-30,253629600
2013-12-31,223084400
2014-01-02,234684800
2014-01-03,392467600
2014-01-06,412610800
2014-01-07,317209200
2014-01-08,258529600
2014-01-09,279148800
2014-01-10,304976000
2014-01-13,378492800
2014-01-14,332561600
2014-01-15,391638800
2014-01-16,229278000
2014-01-17,426739600
2014-01-21,328526800
2014-01-22,379985200
2014-01-23,403239200
2014-01-24,429354800
2014-01-27,554878800
2014-01-28,1065523200
2014-01-29,502810000
2014-01-30,678501600
2014-01-31,464797200
2014-02-03,401464000
2014-02-04,376681200
2014-02-05,328344800
2014-02-06,257765200
2014-02-07,370280400
2014-02-10,345559200
2014-02-11,282256800
2014-02-12,308100800
2014-02-13,307398000
2014-02-14,272924400
2014-02-18,260251600
2014-02-19,313768000
2014-02-20,305858000
2014-02-21,278784800
2014-02-24,288909600
2014-02-25,231952000
2014-02-26,276217200
2014-02-27,301882000
2014-02-28,371968800
2014-03-03,238781200
2014-03-04,259140000
2014-03-05,200062800
2014-03-06,185488800
2014-03-07,220729600
2014-03-10,178584000
2014-03-11,279224400
2014-03-12,199326400
2014-03-13,257742800
2014-03-14,237199200
2014-03-17,199544800
2014-03-18,209647200
2014-03-19,224756000
2014-03-20,208398400
2014-03-21,374046400
2014-03-24,355700800
2014-03-25,282293200
2014-03-26,299768000
2014-03-27,222031600
2014-03-28,200564000
2014-03-31,168669200
2014-04-01,200760000
2014-04-02,180420800
2014-04-03,162344000
2014-04-04,275251200
2014-04-07,289850400
2014-04-08,243888400
2014-04-09,206169600
2014-04-10,239652000
2014-04-11,271717600
2014-04-14,205674000
2014-04-15,266490000
2014-04-16,214765600
2014-04-17,284334400
2014-04-21,182548800
2014-04-22,202563200
2014-04-23,394940000
2014-04-24,759911600
2014-04-25,390275200
2014-04-28,669485600
2014-04-29,337377600
2014-04-30,456640800
2014-05-01,244048000
2014-05-02,191514400
2014-05-05,287067200
2014-05-06,374564400
2014-05-07,282864400
2014-05-08,230297200
2014-05-09,291597600
2014-05-12,213208800
2014-05-13,159737200
2014-05-14,166404000
2014-05-15,230846000
2014-05-16,276256400
2014-05-19,317755200
2014-05-20,234836000
2014-05-21,196859600
2014-05-22,200760000
2014-05-23,232209600
2014-05-27,348866000
2014-05-28,315481600
2014-05-29,376474000
2014-05-30,564020800
2014-06-02,369350800
2014-06-03,292709200
2014-06-04,335482000
2014-06-05,303805600
2014-06-06,349938400
2014-06-09,301660000
2014-06-10,251108000
2014-06-11,182724000
2014-06-12,218996000
2014-06-13,218100000
2014-06-16,142244000
2014-06-17,118904000
2014-06-18,134056000
2014-06-19,142112000
2014-06-20,403592000
2014-06-23,174776000
2014-06-24,156144000
2014-06-25,147476000
2014-06-26,130516000
2014-06-27,256116000
2014-06-30,197929200
2014-07-01,152892000
2014-07-02,113860000
2014-07-03,91567200
2014-07-07,225872000
2014-07-08,260888000
2014-07-09,145744000
2014-07-10,158744000
2014-07-11,136072000
2014-07-14,171240000
2014-07-15,181911600
2014-07-16,213585200
2014-07-17,229192000
2014-07-18,199952000
2014-07-21,156316000
2014-07-22,220788000
2014-07-23,371672000
2014-07-24,182916000
2014-07-25,173876000
2014-07-28,221272000
2014-07-29,172572000
2014-07-30,132040000
2014-07-31,227372000
2014-08-01,194044000
2014-08-04,159832000
2014-08-05,223732000
2014-08-06,154232000
2014-08-07,186844000
2014-08-08,167460000
2014-08-11,146340000
2014-08-12,135180000
2014-08-13,127664000
2014-08-14,112464000
2014-08-15,195804000
2014-08-18,190288000
2014-08-19,277596000
2014-08-20,210796000
2014-08-21,133912000
2014-08-22,176736000
2014-08-25,161080000
2014-08-26,132608000
2014-08-27,209476000
2014-08-28,273840000
2014-08-29,178380000
2014-09-02,214256000
2014-09-03,501684000
2014-09-04,342872000
2014-09-05,233828000
2014-09-08,185426800
2014-09-09,759385200
2014-09-10,403478400
2014-09-11,249412400
2014-09-12,250504400
2014-09-15,245266000
2014-09-16,267632400
2014-09-17,243706000
2014-09-18,149197600
2014-09-19,283609600
2014-09-22,211153600
2014-09-23,253608800
2014-09-24,240687200
2014-09-25,400368000
2014-09-26,249482000
2014-09-29,199065200
2014-09-30,221056400
2014-10-01,205965200
2014-10-02,191031200
2014-10-03,173878400
2014-10-06,148204800
2014-10-07,168376800
2014-10-08,229618800
2014-10-09,309506000
2014-10-10,265326400
2014-10-13,214333600
2014-10-14,254754400
2014-10-15,403734400
2014-10-16,288618000
2014-10-17,272718800
2014-10-20,310069200
2014-10-21,378495600
2014-10-22,273052400
2014-10-23,284298800
2014-10-24,188215600
2014-10-27,136750800
2014-10-28,192243600
2014-10-29,210751600
2014-10-30,162619200
2014-10-31,178557200
2014-11-03,209130400
2014-11-04,166297600
2014-11-05,149743600
2014-11-06,139874000
2014-11-07,134766000
2014-11-10,108782000
2014-11-11,109769200
2014-11-12,187769600
2014-11-13,238091600
2014-11-14,176254400
2014-11-17,186986800
2014-11-18,176896000
2014-11-19,167476800
2014-11-20,173582000
2014-11-21,228717200
2014-11-24,189803200
2014-11-25,275361600
2014-11-26,163073200
2014-11-28,99257600
2014-12-01,335256000
2014-12-02,237395600
2014-12-03,172253600
2014-12-04,168178000
2014-12-05,153275600
2014-12-08,230659600
2014-12-09,240832000
2014-12-10,178261200
2014-12-11,165606800
2014-12-12,224112400
2014-12-15,268872400
2014-12-16,243162800
2014-12-17,213647200
2014-12-18,236024800
2014-12-19,353719200
2014-12-22,180670000
2014-12-23,104113600
2014-12-24,57918400
2014-12-26,134884000
2014-12-29,110395600
2014-12-30,119526000
2014-12-31,165613600
2015-01-02,212818400
2015-01-05,257142000
2015-01-06,263188400
2015-01-07,160423600
2015-01-08,237458000
2015-01-09,214798000
2015-01-12,198603200
2015-01-13,268367600
2015-01-14,195826400
2015-01-15,240056000
2015-01-16,314053200
2015-01-20,199599600
2015-01-21,194303600
2015-01-22,215185600
2015-01-23,185859200
2015-01-26,222460000
2015-01-27,382274800
2015-01-28,585908400
2015-01-29,337745600
2015-01-30,334982000
2015-02-02,250956400
2015-02-03,207662800
2015-02-04,280598800
2015-02-05,168984800
2015-02-06,174826400
2015-02-09,155559200
2015-02-10,248034000
2015-02-11,294247200
2015-02-12,297898000
2015-02-13,217088800
2015-02-17,252609600
2015-02-18,179566800
2015-02-19,149449600
2015-02-20,195793600
2015-02-23,283896400
2015-02-24,276912400
2015-02-25,298846800
2015-02-26,365150000
2015-02-27,248059200
2015-03-02,192386800
2015-03-03,151265200
2015-03-04,126665200
2015-03-05,226068400
2015-03-06,291368400
2015-03-09,354114000
2015-03-10,275426400
2015-03-11,275756000
2015-03-12,193450800
2015-03-13,207309200
2015-03-16,143497200
2015-03-17,204092400
2015-03-18,261083600
2015-03-19,183238000
2015-03-20,274780400
2015-03-23,150838800
2015-03-24,131369200
2015-03-25,206620800
2015-03-26,190291600
2015-03-27,158184800
2015-03-30,188398800
2015-03-31,168362400
2015-04-01,162485600
2015-04-02,128880400
2015-04-06,148776000
2015-04-07,140049200
2015-04-08,149316800
2015-04-09,129936000
2015-04-10,160752000
2015-04-13,145460400
2015-04-14,102098400
2015-04-15,115881600
2015-04-16,113476000
2015-04-17,207828000
2015-04-20,188217200
2015-04-21,129740400
2015-04-22,150618000
2015-04-23,183083600
2015-04-24,178103600
2015-04-27,387816800
2015-04-28,475696000
2015-04-29,253544400
2015-04-30,332781600
2015-05-01,234050400
2015-05-04,203953200
2015-05-05,197085600
2015-05-06,288564000
2015-05-07,175763600
2015-05-08,222201600
2015-05-11,168143200
2015-05-12,192640000
2015-05-13,138776800
2015-05-14,180814000
2015-05-15,152832000
2015-05-18,203531600
2015-05-19,178532800
2015-05-20,145819600
2015-05-21,158921600
2015-05-22,182384000
2015-05-26,282790400
2015-05-27,183332800
2015-05-28,122933200
2015-05-29,203538000
2015-06-01,128451200
2015-06-02,134670400
2015-06-03,123934000
2015-06-04,153800400
2015-06-05,142507200
2015-06-08,210699200
2015-06-09,224301600
2015-06-10,156349200
2015-06-11,141563600
2015-06-12,147544800
2015-06-15,175955600
2015-06-16,125976400
2015-06-17,131672400
2015-06-18,141628800
2015-06-19,218867600
2015-06-22,136157200
2015-06-23,121075600
2015-06-24,221123600
2015-06-25,127752400
2015-06-26,176267200
2015-06-29,196645600
2015-06-30,177482800
2015-07-01,120955200
2015-07-02,108844000
2015-07-06,112241600
2015-07-07,187787200
2015-07-08,243046400
2015-07-09,314380000
2015-07-10,245418000
2015-07-13,165762000
2015-07-14,127072400
2015-07-15,134596800
2015-07-16,144889600
2015-07-17,184658800
2015-07-20,235600800
2015-07-21,307025600
