Date,Volume
2014-09-18,16141400
2014-09-19,23030000
2014-09-22,14201400
2014-09-23,16282500
2014-09-24,11792600
2014-09-25,17556500
2014-09-26,12976300
2014-09-29,26857600
2014-09-30,55952200
2014-10-01,33645900
2014-10-02,27904500
2014-10-03,16797000
2014-10-06,17864800
2014-10-07,17720600
2014-10-08,28000000
2014-10-09,69528900
2014-10-10,41062500
2014-10-13,38269400
2014-10-14,39964200
2014-10-15,36924600
2014-10-16,38795400
2014-10-17,75956600
2014-10-20,28711000
2014-10-21,24033800
2014-10-22,23034800
2014-10-23,23731000
2014-10-24,11945800
2014-10-27,13307500
2014-10-28,22878300
2014-10-29,15600900
2014-10-30,13026100
2014-10-31,14704800
2014-11-03,11733600
2014-11-04,12524300
2014-11-05,9635100
2014-11-06,8932900
2014-11-07,7293800
2014-11-10,12593100
2014-11-11,8113500
2014-11-12,15875400
2014-11-13,10915400
2014-11-14,12373000
2014-11-17,12593800
2014-11-18,14967800
2014-11-19,10323300
2014-11-20,15043900
2014-11-21,11311600
2014-11-24,12293900
2014-11-25,11073600
2014-11-26,10553500
2014-11-28,5665000
2014-12-01,16025100
2014-12-02,12438800
2014-12-03,18256500
2014-12-04,14513400
2014-12-05,9479300
2014-12-08,25402100
2014-12-09,22914800
2014-12-10,17690100
2014-12-11,10151600
2014-12-12,21211600
2014-12-15,19636400
2014-12-16,17051600
2014-12-17,12521300
2014-12-18,12423900
2014-12-19,14701500
2014-12-22,15044900
2014-12-23,8274400
2014-12-24,4624000
2014-12-26,4029600
2014-12-29,8527000
2014-12-30,7783700
2014-12-31,11177900
2015-01-02,0
2015-01-05,8878200
2015-01-06,13912500
2015-01-07,12377600
2015-01-08,11136600
2015-01-09,8907600
2015-01-12,9979600
2015-01-13,17907400
2015-01-14,9989900
2015-01-15,17744000
2015-01-16,30192400
2015-01-20,56713300
2015-01-21,46530800
2015-01-22,36169600
2015-01-23,11107200
2015-01-26,36571300
2015-01-27,51805800
2015-01-28,24786200
2015-01-29,17790200
2015-01-30,12908200
2015-02-02,25688700
2015-02-03,22592300
2015-02-04,34829300
2015-02-05,73355600
2015-02-06,38300000
2015-02-09,24133800
2015-02-10,13995100
2015-02-11,11741100
2015-02-12,12975000
2015-02-13,9627600
2015-02-17,8678100
2015-02-18,7286100
2015-02-19,6573600
2015-02-20,10666700
2015-02-23,6323500
2015-02-24,10916300
2015-02-25,6151300
2015-02-26,8680900
2015-02-27,7150200
2015-03-02,15638100
2015-03-03,8644000
2015-03-04,12122100
2015-03-05,11472300
2015-03-06,16785200
2015-03-09,12405900
2015-03-10,10312400
2015-03-11,11772800
2015-03-12,13847200
2015-03-13,8098100
2015-03-16,6132900
2015-03-17,7742200
2015-03-18,11385200
2015-03-19,8819400
2015-03-20,10764800
2015-03-23,7450200
2015-03-24,8724500
2015-03-25,26985300
2015-03-26,28286300
2015-03-27,16844100
2015-03-30,8557500
2015-03-31,7025000
2015-04-01,11240500
2015-04-02,7047600
2015-04-06,8178500
2015-04-07,5738100
2015-04-08,4349000
2015-04-09,7127600
2015-04-10,6184800
2015-04-13,8391500
2015-04-14,13364100
2015-04-15,15281400
2015-04-16,28617300
2015-04-17,53185300
2015-04-20,29164300
2015-04-21,31279400
2015-04-22,27634900
2015-04-23,15130400
2015-04-24,15001200
2015-04-27,13486900
2015-04-28,11448700
2015-04-29,11870200
2015-04-30,11465300
2015-05-01,11662800
2015-05-04,9670100
2015-05-05,12371600
2015-05-06,18492100
2015-05-07,15015600
2015-05-08,9758800
2015-05-11,10046900
2015-05-12,10017500
2015-05-13,7575900
2015-05-14,8865100
2015-05-15,8054800
2015-05-18,4732800
2015-05-19,9588400
2015-05-20,6947700
2015-05-21,7127700
2015-05-22,12845400
2015-05-26,10007800
2015-05-27,17511000
2015-05-28,12354600
2015-05-29,7750500
2015-06-01,6803700
2015-06-02,7106000
2015-06-03,8062300
2015-06-04,11575800
2015-06-05,7349700
2015-06-08,6212900
2015-06-09,12282700
2015-06-10,8161200
2015-06-11,7671000
2015-06-12,4557600
2015-06-15,8627800
2015-06-16,9795000
2015-06-17,27497900
2015-06-18,25400200
2015-06-19,25551700
2015-06-22,19410100
2015-06-23,17919600
2015-06-24,17516700
2015-06-25,18360200
2015-06-26,97054200
2015-06-29,22971500
2015-06-30,19381300
2015-07-01,19375000
2015-07-02,31185900
2015-07-06,20349400
2015-07-07,46418700
2015-07-08,15302900
2015-07-09,23378200
2015-07-10,17520800
2015-07-13,9080900
2015-07-14,15812300
2015-07-15,13517800
2015-07-16,20653300
2015-07-17,28127100
2015-07-20,12142400
2015-07-21,15034500
2015-07-22,16043400
2015-07-23,10641900
2015-07-24,16478400
2015-07-27,11916500
2015-07-28,14614600
2015-07-29,25582200
2015-07-30,15837400
2015-07-31,7733700
2015-08-03,26218200
2015-08-04,14328400
2015-08-05,13236000
2015-08-06,9475000
2015-08-07,7680800
2015-08-10,29926200
2015-08-11,7479200
2015-08-12,8521200
2015-08-13,7839700
2015-08-14,6183400
2015-08-17,9062400
2015-08-18,9751900
2015-08-19,7441200
2015-08-20,13745700
2015-08-21,12529500
2015-08-24,17217400
2015-08-25,12097700
2015-08-26,10715300
2015-08-27,11839300
2015-08-28,10924600
2015-08-31,6516000
2015-09-01,8470700
2015-09-02,6306100
2015-09-03,7154200
2015-09-04,6725300
2015-09-08,6009500
2015-09-09,12612300
2015-09-10,4290400
2015-09-11,31010300
2015-09-14,16458500
2015-09-15,6524400
2015-09-16,4928300
2015-09-17,5831600
2015-09-18,11814000
2015-09-21,5377800
2015-09-22,9975200
2015-09-23,9649200
2015-09-24,11247700
2015-09-25,5644600
2015-09-28,5693100
2015-09-29,7005300
2015-09-30,5739500
2015-10-01,5531700
2015-10-02,7146100
2015-10-05,7595600
2015-10-06,8558400
2015-10-07,7859200
2015-10-08,9198700
2015-10-09,8629100
2015-10-12,7686600
2015-10-13,6698400
2015-10-14,10184300
2015-10-15,27327100
2015-10-16,21544900
2015-10-19,10670800
2015-10-20,5584200
2015-10-21,14944100
2015-10-22,8208400
2015-10-23,9564200
2015-10-26,6313500
2015-10-27,5755600
2015-10-28,6950600
2015-10-29,4500400
2015-10-30,4897100
2015-11-02,5858700
2015-11-03,8705800
2015-11-04,8205300
2015-11-05,4302200
2015-11-06,8997100
2015-11-09,6231200
2015-11-10,6162200
2015-11-11,3532100
2015-11-12,3576800
2015-11-13,5920200
2015-11-16,4149700
2015-11-17,5825100
2015-11-18,9384700
2015-11-19,4704300
2015-11-20,10727100
2015-11-23,4863200
2015-11-24,15859700
2015-11-25,6914800
2015-11-27,2606600
2015-11-30,9924400
2015-12-01,5646400
2015-12-02,7501700
2015-12-03,7059900
2015-12-04,4572600
2015-12-07,8479600
2015-12-08,9055500
2015-12-09,8710000
2015-12-10,13069400
2015-12-11,11890000
2015-12-14,7625700
2015-12-15,7423900
2015-12-16,19543600
2015-12-17,11374100
2015-12-18,17988100
2015-12-21,6876600
2015-12-22,24893200
2015-12-23,30365300
2015-12-24,11890900
2015-12-28,16050500
2015-12-29,15300900
2015-12-30,10046600
2015-12-31,11086100
2016-01-04,32516800
2016-01-05,12972300
2016-01-06,23759400
2016-01-07,22203500
2016-01-08,31822400
2016-01-11,19629300
2016-01-12,17986100
2016-01-13,12749700
2016-01-14,15666600
2016-01-15,21199300
2016-01-19,18978900
2016-01-20,29243600
2016-01-21,26387900
2016-01-22,16245500
2016-01-25,13080900
2016-01-26,11097400
2016-01-27,10833200
2016-01-28,7118400
2016-01-29,11998100
2016-02-01,8816100
2016-02-02,11224100
2016-02-03,9978600
2016-02-04,8284800
2016-02-05,7914400
2016-02-08,11589000
2016-02-09,14991500
2016-02-10,9466100
2016-02-11,7858300
2016-02-12,9957300
2016-02-16,11853400
2016-02-17,13770200
2016-02-18,10823400
2016-02-19,7784100
2016-02-22,9895500
2016-02-23,6710600
2016-02-24,6906200
2016-02-25,5614400
2016-02-26,7911500
2016-02-29,11400300
2016-03-01,9011200
2016-03-02,10845700
2016-03-03,22092400
2016-03-04,15449000
2016-03-07,8754300
2016-03-08,10026900
2016-03-09,13082400
2016-03-10,9603500
2016-03-11,21382400
2016-03-14,33848000
2016-03-15,21573600
2016-03-16,13015700
2016-03-17,29000800
2016-03-18,26330500
2016-03-21,13464900
2016-03-22,10315800
2016-03-23,10167100
2016-03-24,10040200
2016-03-28,7683700
2016-03-29,13616200
2016-03-30,14945900
2016-03-31,9071500
2016-04-01,8257700
2016-04-04,5591100
2016-04-05,9640200
2016-04-06,12534600
2016-04-07,13479200
2016-04-08,8489000
2016-04-11,9045100
2016-04-12,16131900
2016-04-13,8048000
2016-04-14,8985300
2016-04-15,7487500
2016-04-18,8938800
2016-04-19,11719900
2016-04-20,7926100
2016-04-21,13957200
2016-04-22,143265300
2016-04-25,80607900
2016-04-26,36336900
2016-04-27,24186800
2016-04-28,20230000
2016-04-29,17717800
2016-05-02,16972800
2016-05-03,13784800
2016-05-04,8688500
2016-05-05,21529600
2016-05-06,11839300
2016-05-09,16299400
2016-05-10,9415100
2016-05-11,7540300
2016-05-12,9255800
2016-05-13,16470100
2016-05-16,14703800
2016-05-17,20066100
2016-05-18,19487500
2016-05-19,17696900
2016-05-20,13799600
2016-05-23,35467000
2016-05-24,34283900
2016-05-25,24703600
2016-05-26,22625700
2016-05-27,34429600
2016-05-31,25379200
2016-06-01,29696400
2016-06-02,35335000
2016-06-03,17561800
2016-06-06,21329600
2016-06-07,20676200
2016-06-08,16074300
2016-06-09,16219100
2016-06-10,15106500
2016-06-13,13500700
2016-06-14,16757400
2016-06-15,11575300
2016-06-16,34182700
2016-06-17,64894100
2016-06-20,43541300
2016-06-21,35864600
2016-06-22,47943300
2016-06-23,29159200
2016-06-24,36735200
2016-06-27,31025300
2016-06-28,29221400
2016-06-29,33118300
2016-06-30,26124800
2016-07-01,18255900
2016-07-05,16332500
2016-07-06,19392900
2016-07-07,15813800
2016-07-08,28140700
2016-07-11,21027900
2016-07-12,20832500
2016-07-13,14032500
2016-07-14,20050100
2016-07-15,14219300
2016-07-18,38619400
2016-07-19,23439600
2016-07-20,20102400
2016-07-21,40242000
2016-07-22,101838300
2016-07-25,118328600
2016-07-26,81230600
2016-07-27,38567300
2016-07-28,27515600
2016-07-29,22580500
2016-08-01,26729000
2016-08-02,40816400
2016-08-03,23807800
2016-08-04,22411000
2016-08-05,20164000
2016-08-08,21462200
2016-08-09,16772400
2016-08-10,29070700
2016-08-11,13240300
2016-08-12,25466400
2016-08-15,28339400
2016-08-16,26768800
2016-08-17,13791300
2016-08-18,30783300
2016-08-19,75129300
2016-08-22,41519200
2016-08-23,27531100
2016-08-24,22943900
2016-08-25,16451300
2016-08-26,31387900
2016-08-29,16916300
2016-08-30,16088100
2016-08-31,18808800
2016-09-01,22284600
2016-09-02,18538400
2016-09-06,24994600
2016-09-07,57721900
2016-09-08,90814700
2016-09-09,170828000
2016-09-12,78014400
2016-09-13,50819500
2016-09-14,64251100
2016-09-15,52669500
2016-09-16,47829400
2016-09-19,37837200
2016-09-20,28990900
2016-09-21,33450000
2016-09-22,35848200
2016-09-23,61022400
2016-09-26,29875800
2016-09-27,30035900
2016-09-28,27878300
2016-09-29,30746100
2016-09-30,47453100
2016-10-03,30456700
2016-10-04,25770000
2016-10-05,31235600
2016-10-06,27059700
2016-10-07,33059000
2016-10-10,13800500
2016-10-11,32510800
2016-10-12,33592700
2016-10-13,30401700
2016-10-14,66934400
2016-10-17,24261500
2016-10-18,25314800
2016-10-19,29420200
2016-10-20,64607500
2016-10-21,64243500
2016-10-24,52998400
2016-10-25,78862000
2016-10-26,47619300
2016-10-27,37804200
2016-10-28,77261300
2016-10-31,42345900
2016-11-01,39906900
2016-11-02,33852200
2016-11-03,33673600
2016-11-04,32215700
2016-11-07,36999200
2016-11-08,37728500
2016-11-09,38479500
2016-11-10,71749500
2016-11-11,39492200
2016-11-14,29596400
2016-11-15,28909400
2016-11-16,78083200
2016-11-17,124235500
2016-11-18,62336200
2016-11-21,65595900
2016-11-22,71312800
2016-11-23,34646000
2016-11-25,14214100
2016-11-28,25907800
2016-11-29,54831400
2016-11-30,36511900
